Date,Day,covid-19 cases in PH,new cases daily,coronavirus + ncov + covid-19 + covid19 + "covid 19","""face mask"" + facemask","""hand sanitizer""","""cough etiquette""",handwashing + "hand washing","""social distancing""","""community quarantine"""
31/12/2019,0,0,0,0,3,0,0,4,0,0
01/01/2020,1,0,0,0,5,0,0,4,0,0
02/01/2020,2,0,0,0,5,1,0,0,0,0
03/01/2020,3,0,0,0,3,<1,0,6,0,0
04/01/2020,4,0,0,0,4,<1,0,3,0,0
05/01/2020,5,0,0,0,3,0,3,0,0,0
06/01/2020,6,0,0,0,6,<1,0,3,0,0
07/01/2020,7,0,0,0,2,1,0,6,0,0
08/01/2020,8,0,0,0,2,0,0,6,0,0
09/01/2020,9,0,0,<1,1,0,0,9,0,0
10/01/2020,10,0,0,<1,3,1,0,9,0,0
11/01/2020,11,0,0,<1,3,0,0,0,0,0
12/01/2020,12,0,0,<1,60,<1,0,0,0,0
13/01/2020,13,0,0,<1,70,0,0,3,0,0
14/01/2020,14,0,0,<1,19,<1,0,2,0,0
15/01/2020,15,0,0,<1,12,0,0,5,0,0
16/01/2020,16,0,0,<1,10,0,0,3,0,0
17/01/2020,17,0,0,<1,7,0,0,6,0,0
18/01/2020,18,0,0,<1,4,0,0,7,0,0
19/01/2020,19,0,0,<1,4,<1,0,3,0,0
20/01/2020,20,0,0,1,3,1,0,3,0,0
21/01/2020,21,0,0,11,4,1,0,9,0,0
22/01/2020,22,0,0,14,5,<1,0,14,0,0
23/01/2020,23,0,0,15,9,0,0,3,0,0
24/01/2020,24,0,0,16,10,1,0,3,0,0
25/01/2020,25,0,0,19,9,2,3,0,0,0
26/01/2020,26,0,0,26,15,1,0,3,0,0
27/01/2020,27,0,0,32,39,1,0,16,0,0
28/01/2020,28,0,0,27,38,2,0,0,0,0
29/01/2020,29,0,0,26,25,0,0,3,0,0
30/01/2020,30,1,1,63,69,2,0,17,0,0
31/01/2020,31,1,0,50,100,4,0,6,0,0
01/02/2020,32,1,0,24,45,2,0,13,0,0
02/02/2020,33,2,1,24,30,<1,3,6,0,0
03/02/2020,34,2,0,23,27,2,0,8,0,0
04/02/2020,35,2,0,19,19,1,0,6,0,0
05/02/2020,36,2,0,20,19,3,0,20,0,0
06/02/2020,37,2,0,19,16,<1,0,17,0,0
07/02/2020,38,3,1,18,15,<1,0,6,0,0
08/02/2020,39,3,0,14,9,1,0,0,0,0
09/02/2020,40,3,0,13,14,1,0,3,0,0
10/02/2020,41,3,0,18,12,<1,0,8,0,0
11/02/2020,42,3,0,16,16,2,0,6,0,0
12/02/2020,43,3,0,14,8,2,0,3,0,0
13/02/2020,44,3,0,12,10,1,0,3,0,0
14/02/2020,45,3,0,10,8,<1,0,0,0,0
15/02/2020,46,3,0,7,7,1,0,10,0,0
16/02/2020,47,3,0,10,8,<1,0,16,0,0
17/02/2020,48,3,0,9,8,<1,0,19,0,0
18/02/2020,49,3,0,9,6,<1,0,0,0,0
19/02/2020,50,3,0,8,5,1,0,11,0,0
20/02/2020,51,3,0,8,5,<1,0,11,0,0
21/02/2020,52,3,0,8,6,1,0,6,0,0
22/02/2020,53,3,0,6,4,<1,0,3,0,0
23/02/2020,54,3,0,8,4,<1,0,6,0,0
24/02/2020,55,3,0,10,5,1,0,6,0,0
25/02/2020,56,3,0,9,5,2,0,6,0,0
26/02/2020,57,3,0,11,5,1,0,16,0,0
27/02/2020,58,3,0,12,4,1,0,3,0,0
28/02/2020,59,3,0,11,8,<1,0,3,0,0
29/02/2020,60,3,0,8,7,1,0,3,0,0
01/03/2020,61,3,0,9,4,2,0,6,0,0
02/03/2020,62,3,0,9,6,2,0,0,0,0
03/03/2020,63,3,0,10,6,0,0,13,0,0
04/03/2020,64,3,0,8,7,<1,0,5,0,0
05/03/2020,65,3,0,10,5,0,0,8,0,0
06/03/2020,66,5,2,16,5,<1,0,3,0,0
07/03/2020,67,6,1,26,8,2,0,13,0,0
08/03/2020,68,10,4,25,8,2,0,3,3,0
09/03/2020,69,20,10,62,21,2,3,16,5,0
10/03/2020,70,33,13,67,20,4,0,11,16,0
11/03/2020,71,49,16,66,27,6,3,19,11,0
12/03/2020,72,52,3,100,28,6,0,19,35,25
13/03/2020,73,64,12,83,26,6,0,12,64,28
14/03/2020,74,111,47,86,25,5,7,16,33,25
15/03/2020,75,140,29,91,23,6,3,19,52,24
16/03/2020,76,142,2,93,31,4,0,9,100,100
17/03/2020,77,187,45,80,18,5,3,12,72,38
18/03/2020,78,202,15,77,19,4,0,6,62,24
19/03/2020,79,217,15,70,24,4,0,13,57,19
20/03/2020,80,230,13,63,20,3,0,9,44,14
21/03/2020,81,307,77,71,20,3,0,14,65,12
22/03/2020,82,380,73,77,20,3,0,21,45,10
23/03/2020,83,462,82,80,17,2,0,13,51,13
24/03/2020,84,552,90,74,15,1,0,13,26,12
25/03/2020,85,636,84,78,15,3,0,10,32,19
26/03/2020,86,707,71,82,14,1,0,7,26,23
27/03/2020,87,803,96,78,14,1,0,0,52,13
28/03/2020,88,1075,272,75,13,1,0,10,34,9
29/03/2020,89,1418,343,72,7,1,0,20,17,9
30/03/2020,90,1546,128,63,13,4,0,6,19,12
31/03/2020,91,2084,538,60,15,1,0,16,22,12
01/04/2020,92,2311,227,57,9,2,0,3,16,8
02/04/2020,93,2633,322,52,12,<1,0,6,22,14
03/04/2020,94,3018,385,48,15,2,3,3,23,9
04/04/2020,95,3094,76,47,16,1,0,0,28,11
05/04/2020,96,3246,152,51,13,<1,0,0,17,9
06/04/2020,97,3660,414,51,14,1,0,6,13,16
